primary_key,OUTPUT:answer1,OUTPUT:confidence1,OUTPUT:answer2,OUTPUT:confidence2,ai_dec,agreement1,agreement2,cw_acc1,cw_acc2,ground_truth,context
Ammar Kahok,1,5.5,1,5.333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,recid
Darrell Blackburn,1,5.2,1,4.0,0.0,0.2,0.4,0.2,0.4,0.0,recid
Duc Nguyen,1,4.4,1,4.6,1.0,0.6,0.6,0.6,0.6,1.0,recid
Ed Philo,1,4.666666666666667,1,4.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,recid
Giovanna Flores,1,2.2,1,3.3333333333333335,0.0,0.2,0.4,0.2,0.4,0.0,recid
Jackson Exalus,1,3.0,1,6.0,1.0,1.0,1.0,1.0,1.0,1.0,recid
Lawrence Derubeis,1,6.0,1,6.333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,recid
Nadine Chambers,0,4.5,0,4.25,0.0,0.75,0.75,0.25,0.25,1.0,recid
Nelson Avalo,0,5.333333333333333,0,4.5,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,recid
Pedro Rodriguez,1,5.5,1,5.166666666666667,0.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334,1.0,recid
Quavon Woodcock,1,4.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,recid
Ravenne Osceola,1,5.333333333333333,0,5.5,0.0,0.16666666666666666,0.5,0.8333333333333334,0.3333333333333333,1.0,recid
Robert Hauselt,0,4.5,0,5.25,1.0,0.5,0.5,0.5,0.5,1.0,recid
Sarai Beas-Gonzalez,1,4.833333333333333,1,5.333333333333333,1.0,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.0,recid
Victor Moreno,0,4.0,0,5.2,1.0,0.2,0.2,0.2,0.2,1.0,recid
Assistant district attorney,1,4.2,1,3.2,1.0,0.6,0.8,0.4,0.2,0.0,loan
Claims adjudicator,0,4.5,0,4.5,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,loan
Counselor,0,3.5,0,4.5,0.0,0.5,0.5,0.5,0.5,1.0,loan
Driver,0,5.0,0,4.833333333333333,1.0,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.5,0.0,loan
General manager,0,4.0,0,4.166666666666667,1.0,0.5,0.5,0.5,0.5,0.0,loan
Medical assistant,1,5.166666666666667,0,5.25,1.0,0.6666666666666666,0.5,0.3333333333333333,0.5,0.0,loan
Operational risk manager,0,4.5,0,4.0,0.0,0.5,0.5,0.5,0.5,1.0,loan
Project manager,1,3.8333333333333335,1,5.0,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,loan
QC lead,0,3.6666666666666665,0,3.3333333333333335,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,loan
Regional manager,0,4.0,0,4.333333333333333,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,loan
Rehab manager,1,4.0,1,4.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,loan
Sales,0,3.6666666666666665,0,3.3333333333333335,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,loan
Service technician,0,3.6666666666666665,1,4.666666666666667,1.0,0.5,0.5,0.5,0.5,1.0,loan
Supplies clerk,1,3.5,0,2.5,0.0,0.0,1.0,0.0,1.0,0.0,loan
Welder,1,4.5,0,4.5,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5,1.0,loan
